fold,origin_timestamp,end_timestamp,method,mae_p50,pinball_mean,cov50_p25_p75,cov80_p10_p90,cov90_p05_p95,width80_p10_p90,fit_time_sec
1,2023-05-30,2023-06-13,hist_quantile_tow,1.870753145890194,0.6098066789785784,0.3154200359389039,0.5342542677448338,0.6378593890386344,2.792971758529368,0.0
2,2023-06-13,2023-06-27,hist_quantile_tow,1.6949331480233603,0.5141140220288329,0.33159254267744837,0.5883591644204852,0.7005840071877808,3.046596730640459,0.0
3,2023-06-27,2023-07-11,hist_quantile_tow,1.1214565987820704,0.3000259111110674,0.3529874213836478,0.6560815363881402,0.7581143306379156,3.2587421813812747,0.0
4,2023-07-11,2023-07-25,hist_quantile_tow,1.500449610661875,0.41903971194240175,0.3776673405211141,0.6542565139263252,0.7708614106019767,3.2347052951609623,0.0
5,2023-07-25,2023-08-08,hist_quantile_tow,1.85083319294699,0.5149418160817143,0.36242138364779874,0.6491183737646001,0.7809411500449236,3.339271395643915,0.0
6,2023-08-08,2023-08-22,hist_quantile_tow,1.4984104896675654,0.3917648004078293,0.419811320754717,0.7362982929020665,0.8420653638814016,3.4850163459971824,0.0
7,2023-08-22,2023-09-05,hist_quantile_tow,1.5164587544923627,0.40878846394043705,0.4405884995507637,0.7272012578616353,0.8306659928122192,3.5230689689673786,0.0
8,2023-09-05,2023-09-19,hist_quantile_tow,1.07224772574124,0.31961375736403946,0.516312893081761,0.772911051212938,0.8571990116801438,3.5679160917713473,0.0
9,2023-09-19,2023-10-03,hist_quantile_tow,0.998317575676667,0.2903264834550622,0.5018250224618149,0.7726583557951483,0.8547282120395328,3.5682794212692195,0.0
10,2023-10-03,2023-10-17,hist_quantile_tow,1.011002714112817,0.29237918509779115,0.4834905660377358,0.7639824797843666,0.8421215184186882,3.5527453960696067,0.0
11,2023-10-17,2023-10-31,hist_quantile_tow,0.7400786928730593,0.2508856748073827,0.5846529649595688,0.8251628481581311,0.8964791105121294,3.5338267345459777,0.0
12,2023-10-31,2023-11-14,hist_quantile_tow,0.7393412230458221,0.24678018292324563,0.5814521563342318,0.8141284815813118,0.8916217430368374,3.5109019907575107,0.0
